,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
0,20786.0,534.7170000000001,200.92724087809378,132.14355308179617,1.5205224635795958,0.7533073135666243,21057.0,162.68238127364958,0.789411720025825,0.9871301704896234,0.9135510133882317,0.8096581656259937,0.009666469781492052,0.0025624444613100523,0.655546345164849,0.9967729437406562
1,21830.0,543.295,201.34774340817174,138.53555505766678,1.4534012104283176,0.7256715680254109,22029.0,166.71778327931486,0.7310294019154778,0.9909664533115439,0.9293775625579931,0.8280091967126987,0.009223442208345018,0.002674320391324646,0.6855992298408088,0.9964507505193537
2,21877.0,542.194,202.01615513088026,138.07402986320284,1.4631003044600657,0.7299691083128892,22107.0,166.89715851437123,0.7471653005464481,0.9895960555480164,0.9351649395036497,0.8261574843172493,0.00923417996667186,0.002653563369037867,0.6825361888934061,0.9986189057749553
3,22158.0,542.4359999999999,198.77512494863944,142.155495251201,1.398293640336497,0.6989634743664187,22424.0,167.9655971687111,0.7436568666935159,0.9881377095968605,0.946331752974061,0.8450031019329552,0.008970806252759249,0.0028212687127675356,0.7140302422763165,0.9984239467829016
4,22227.0,544.406,197.92330173948858,143.93691636607784,1.3750697648413281,0.6863876815671343,22438.0,168.22691627925792,0.7197862694300519,0.9905963098315358,0.9424208970940973,0.8499601350662704,0.008904634081949367,0.0028667516284257085,0.7224322312018729,0.9933947182725555
5,22777.0,563.8609999999999,204.87890602782795,141.80155879724055,1.444828306300783,0.7217788447706888,23071.0,170.29555810540919,0.7720493525862654,0.9872567292271683,0.9002482200608714,0.8312010319026135,0.008994990825298676,0.002648529302991797,0.6908951554359697,0.9982248772599683
6,23288.0,558.113,207.56773796742524,143.08569300911552,1.4506533364883782,0.7244336161783975,23545.0,172.19524534026039,0.804588170259812,0.9890847313654704,0.9395021522503479,0.8295857873986368,0.008913077033984251,0.0026040698838591,0.6882125786538164,0.9983578734374291
7,23482.0,572.8600000000001,207.77267416690216,144.53101976830456,1.4375645761026201,0.7184090261628253,23791.0,172.9109915230119,0.7125474131391291,0.987011895254508,0.8991827161700094,0.8322123793050564,0.00884816771002905,0.0026180009229803424,0.6925774442685833,0.9956248000882019
8,23616.0,566.5529999999999,207.1344166391896,145.68234103587116,1.4218224059715459,0.7108707009267629,23931.0,173.4036478522456,0.7118827997829625,0.9868371568258744,0.924560035728379,0.8371551703756691,0.008770935663922324,0.002657354799065881,0.7008287792867156,0.9964540611395394
9,23618.0,576.368,211.36384393209644,142.9815890170538,1.4782591617924075,0.7364689307294566,23943.0,173.41099033093337,0.6994195688225538,0.9864260953096938,0.8934150432229345,0.8204382883320577,0.008949269367943791,0.0025012149888149807,0.6731189849612368,0.9950443064953538
10,23687.0,573.605,213.4650261998432,141.44774606006527,1.5091440630605457,0.748949337612536,23983.0,173.6641157411104,0.737223778400249,0.9876579243630905,0.9046780794711765,0.8135483307627559,0.009011906370576401,0.002435173264330145,0.6618608864868668,0.9988434274136448
11,23878.0,582.76,223.93567718850696,136.1406370686498,1.6448848926392636,0.7939789300867285,24162.0,174.36287979150327,0.7054687269181907,0.9882460061253208,0.8835443267711481,0.7786293009698774,0.009378326375262038,0.002126317319269282,0.6062635883288398,0.9972338173993782
12,24046.0,573.7219999999999,209.4120244691513,146.69141336622226,1.4275683877034029,0.7136604154625446,24361.0,174.97519279229763,0.7086943707633363,0.987069496326095,0.9180148349850026,0.8355546594607006,0.008708809135371842,0.002618412085559853,0.6981515889464874,0.9966591382049059
13,24388.0,589.5980000000001,229.50438061311036,135.53640563156281,1.6933043158676249,0.8069927816276624,24631.0,176.2151129074948,0.7592777085927771,0.9901343835004669,0.8816050049475528,0.7678071871079074,0.009410545375312053,0.0020174521736636745,0.5895278765745571,0.998250097727974
14,24590.0,575.308,209.87965457175034,149.6176680918509,1.40277319683197,0.7012925273272915,24921.0,176.94338191929543,0.7554531490015362,0.9867180289715501,0.93361445323661,0.8430706743840425,0.008535162853670205,0.0026597909653521827,0.7107681620063642,0.9970465268240511
15,24707.0,590.3909999999998,217.55711325067085,145.3784403184334,1.4964881503346648,0.7439537136673642,25080.0,177.36383349423767,0.7606366603041684,0.9851275917065391,0.8907389068516924,0.8152518244249628,0.008805484812023753,0.002399386177119717,0.6646355372282304,0.9946192057533608
